STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,statinfo,Statistical information,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),life_sat,Life satisfaction,sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AL,Albania,2018,,5.5,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AL,Albania,2021,,5.7,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AT,Austria,2013,,7.8,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AT,Austria,2018,,8.0,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AT,Austria,2021,,8.0,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AT,Austria,2022,,7.9,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AT,Austria,2023,,7.7,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,AT,Austria,2024,,7.6,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BE,Belgium,2013,,7.5,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BE,Belgium,2018,,7.6,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BE,Belgium,2021,,7.5,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BE,Belgium,2022,,7.6,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BE,Belgium,2023,,7.7,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BE,Belgium,2024,,7.6,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BG,Bulgaria,2013,,4.8,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BG,Bulgaria,2018,,5.4,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BG,Bulgaria,2021,,5.7,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BG,Bulgaria,2022,,5.6,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BG,Bulgaria,2023,,5.9,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,BG,Bulgaria,2024,,6.2,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CH,Switzerland,2013,,8.0,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CH,Switzerland,2018,,8.0,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CH,Switzerland,2021,,7.9,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CH,Switzerland,2022,,8.0,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CH,Switzerland,2023,,7.8,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CY,Cyprus,2013,,6.2,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CY,Cyprus,2018,,7.1,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CY,Cyprus,2021,,6.7,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CY,Cyprus,2022,,7.1,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CY,Cyprus,2023,,7.4,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CY,Cyprus,2024,,7.4,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CZ,Czechia,2013,,6.9,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CZ,Czechia,2018,,7.4,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CZ,Czechia,2021,,7.3,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CZ,Czechia,2022,,7.4,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CZ,Czechia,2023,,7.4,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,CZ,Czechia,2024,,7.4,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DE,Germany,2013,,7.3,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DE,Germany,2018,,7.4,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DE,Germany,2021,,,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DE,Germany,2022,,6.5,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DE,Germany,2023,,7.0,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DE,Germany,2024,,7.0,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DK,Denmark,2013,,8.0,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DK,Denmark,2018,,7.8,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DK,Denmark,2021,,7.5,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DK,Denmark,2022,,7.6,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DK,Denmark,2023,,7.5,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,DK,Denmark,2024,,7.6,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EA20,Euro area – 20 countries (from 2023),2022,,7.1,,e,estimated,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EA20,Euro area – 20 countries (from 2023),2023,,7.2,,e,estimated,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EA20,Euro area – 20 countries (from 2023),2024,,7.2,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EE,Estonia,2013,,6.5,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EE,Estonia,2018,,7.0,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EE,Estonia,2021,,7.2,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EE,Estonia,2022,,7.2,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EE,Estonia,2023,,7.2,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EE,Estonia,2024,,7.1,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EL,Greece,2013,,6.2,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EL,Greece,2018,,6.4,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EL,Greece,2021,,6.8,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EL,Greece,2022,,6.7,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EL,Greece,2023,,6.9,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EL,Greece,2024,,6.7,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,ES,Spain,2013,,6.9,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,ES,Spain,2018,,7.3,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,ES,Spain,2021,,7.2,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,ES,Spain,2022,,7.1,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,ES,Spain,2023,,7.2,,,,,
