STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2023,,41770,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2023,,40330,,p,provisional,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2023,,8850,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,CY,Cyprus,2023,,28220,,p,provisional,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,CZ,Czechia,2023,,18260,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2023,,39380,,p,provisional,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,DK,Denmark,2023,,53230,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,EE,Estonia,2023,,18200,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,EL,Greece,2023,,18800,,p,provisional,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,ES,Spain,2023,,25730,,p,provisional,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,FI,Finland,2023,,40920,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2023,,35440,,p,provisional,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,HR,Croatia,2023,,14980,,p,provisional,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,HU,Hungary,2023,,14770,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,IE,Ireland,2023,,84560,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,IT,Italy,2023,,30780,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,LT,Lithuania,2023,,16840,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,LU,Luxembourg,2023,,94080,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,LV,Latvia,2023,,15190,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,MT,Malta,2023,,29530,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,NL,Netherlands,2023,,45930,,p,provisional,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,PL,Poland,2023,,15290,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,PT,Portugal,2023,,20110,,p,provisional,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,RO,Romania,2023,,11170,,p,provisional,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,SE,Sweden,2023,,48350,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,SI,Slovenia,2023,,23170,,,,,
dataflow,ESTAT:TIPSNA40(1.0),Real GDP per capita,A,Annual,CLV15_EUR_HAB,"Chain linked volumes (2015), euro per capita",B1GQ,Gross domestic product at market prices,SK,Slovakia,2023,,17370,,,,,
